8,8,7,5,7,6,5,3,6,5,11,8,8,6,852,3453,1242,267,139,58,38,30,21,14,18,11,11,6,7,15,52,260,288,102,29,22,18,11,13,17,8,14,8,8,8,9,7,6,7,8,12,9,7,15,8,7,3,6,10,5,9,8,12,14,9,6,0,2,16,12,6,9,7,8,6,8,10,8,9,3,13,7,6,8,9,10,9,7,9,12,4,9,3,7,8,9,7,6,5,7,7,3,5,7,9,3,8,7,4,6,7,7,4,9,7,3,6,8,10,3,7,4,3,6,6,4,7,7
4,6,7,10,8,5,9,4,5,10,8,7,7,4,12,1725,2030,360,139,68,49,34,23,17,12,11,11,15,14,11,8,26,181,375,221,111,36,24,9,13,11,6,6,4,8,11,9,10,8,7,11,7,8,5,7,4,7,12,5,9,10,7,12,11,11,12,7,10,10,10,10,9,13,6,8,6,9,8,8,8,5,6,5,10,10,6,7,12,10,12,4,5,4,3,10,9,6,7,9,8,11,12,8,2,6,8,6,11,13,8,5,12,6,8,6,7,7,7,5,9,8,8,6,5,5,13,11,6
6,12,4,8,6,7,4,5,5,8,3,3,4,6,10,2737,3017,541,225,128,53,38,23,21,24,15,15,11,7,8,12,26,300,541,249,65,25,16,12,11,11,11,8,13,9,10,13,8,10,12,12,7,9,10,9,9,8,7,11,8,8,9,8,12,3,12,6,11,9,10,11,8,8,6,6,9,3,7,4,9,9,15,9,13,1,13,9,10,11,6,7,4,2,4,5,10,6,5,11,3,6,11,10,9,7,6,11,4,3,6,7,7,9,11,8,7,3,9,7,6,9,3,7,8,13,5,7,7
12,11,12,11,14,3,9,4,7,13,16,7,17,20,128,1393,717,157,77,34,30,27,27,18,18,17,17,18,10,17,23,1139,2610,926,192,100,54,32,17,14,16,13,14,14,20,16,16,18,22,12,15,13,8,26,14,10,16,15,16,19,26,16,14,3,18,20,18,14,18,13,8,13,8,12,11,15,17,12,8,11,12,14,15,13,19,8,12,15,14,22,10,12,24,10,16,9,15,13,11,13,15,15,6,11,11,13,11,11,12,18,13,10,10,15,12,14,14,13,12,8,10,11,12,13,14,14,13,12
17,13,19,20,19,19,14,19,13,9,20,17,16,19,584,7335,3851,676,286,136,89,65,41,33,40,25,26,20,23,30,31,444,877,275,92,52,34,25,14,20,24,19,18,15,23,24,12,19,22,22,25,22,16,15,19,19,29,27,21,21,27,14,11,21,21,15,21,13,18,17,8,22,15,23,18,17,15,16,15,15,23,21,24,17,19,20,22,17,15,19,22,22,22,15,19,10,19,23,24,21,19,17,20,17,15,14,12,14,18,22,18,20,26,17,17,14,22,21,14,8,17,23,18,15,16,15,15,23
11,17,21,24,11,9,17,9,23,10,12,16,20,6,20,953,1094,211,74,53,37,20,25,22,18,17,24,12,18,17,11,658,5852,3231,563,225,93,63,32,18,16,15,12,14,17,24,16,22,14,21,14,20,18,20,16,15,14,14,28,22,24,19,24,18,15,17,20,17,17,14,15,19,18,17,10,20,18,20,11,16,13,28,20,17,14,17,17,18,19,15,17,14,11,15,21,13,14,15,17,13,9,25,21,8,14,10,9,14,15,11,13,9,15,18,12,10,16,15,9,16,18,19,12,18,14,17,16,9
5,5,10,8,4,5,10,10,6,5,6,8,8,5,18,2471,2884,467,215,112,42,33,28,15,21,13,7,11,16,11,13,22,263,454,138,65,30,12,9,4,10,12,10,3,7,9,7,8,2,7,15,6,11,10,7,4,6,4,10,5,8,15,11,9,11,6,12,7,5,7,9,10,4,12,10,3,8,9,14,4,7,6,10,5,13,9,7,11,3,5,7,7,10,9,5,10,12,7,4,8,3,9,9,10,6,10,10,10,10,7,9,11,8,12,8,3,10,5,10,5,11,9,14,7,7,14,10,12
3,9,11,5,10,6,7,7,5,5,12,9,8,9,56,1444,897,162,58,41,32,17,14,15,9,5,12,16,14,14,8,435,1534,689,144,58,47,26,11,15,12,3,8,7,7,7,13,9,15,9,6,11,4,8,7,4,7,19,16,16,13,11,7,8,14,6,10,10,7,8,8,11,12,7,11,11,8,13,9,13,8,8,14,7,11,11,9,8,9,6,5,13,7,9,8,8,10,15,8,9,10,10,4,11,5,6,10,9,8,9,8,10,5,10,7,9,10,6,11,3,10,5,10,12,9,8,7,10
9,5,6,7,9,2,6,9,4,9,11,11,8,14,795,2908,934,215,112,65,30,33,24,14,10,13,10,8,6,10,50,286,249,147,43,25,13,9,8,10,2,6,6,9,11,9,12,4,10,10,6,8,9,8,12,6,11,3,9,9,12,10,7,9,9,9,9,12,8,12,5,8,15,5,5,4,8,10,10,3,7,5,8,11,8,8,4,6,6,6,6,8,7,7,7,9,12,13,3,10,4,7,10,10,5,5,9,2,11,4,1,6,8,7,5,8,6,3,6,4,3,1,11,4,4,6,6,9
6,5,5,12,3,10,3,14,12,9,4,4,9,7,6,2013,2507,416,159,90,53,24,26,18,10,21,13,9,9,7,7,26,249,301,201,81,36,22,13,10,13,11,12,8,9,8,13,8,9,8,5,7,7,9,7,6,14,8,7,14,2,13,12,13,7,12,8,9,13,9,10,10,12,9,10,14,8,11,16,9,5,8,7,13,14,6,7,5,7,6,8,13,10,12,8,11,9,6,8,9,11,5,8,6,6,5,6,6,7,7,2,12,13,2,7,9,9,5,8,10,6,5,5,6,8,8,5,6
8,6,8,6,7,6,10,4,6,10,5,5,7,7,7,1855,2146,353,132,78,38,40,18,12,16,18,11,11,8,10,10,30,887,1109,322,94,39,19,19,9,7,9,5,3,6,10,6,9,7,6,13,13,4,6,7,10,10,8,8,10,11,6,10,16,10,11,9,9,4,14,7,7,10,7,11,6,9,7,3,7,5,5,3,6,9,9,12,7,7,7,7,4,8,11,8,11,7,7,6,4,3,12,3,8,7,9,4,5,2,5,4,6,2,4,10,11,9,4,4,5,6,7,6,2,11,6,12,7
13,4,10,10,10,11,3,6,8,7,4,5,10,12,143,1565,787,130,67,44,33,11,11,16,19,14,15,14,9,13,11,516,1935,947,253,87,37,31,16,14,9,8,8,9,9,10,12,9,6,7,12,12,10,14,8,5,4,7,9,18,11,12,10,11,12,14,8,12,8,9,10,6,9,9,13,7,10,10,10,17,6,4,9,5,9,9,7,9,9,7,9,7,6,6,4,6,10,5,8,7,10,7,7,6,9,8,9,12,8,11,12,8,6,8,14,9,14,2,8,6,9,10,6,9,6,10,10,11
27,28,27,22,23,25,29,24,31,20,20,18,21,32,314,3572,1986,383,176,88,64,47,54,40,41,29,36,31,26,23,44,1570,1905,416,142,90,52,34,29,33,29,31,31,27,28,37,29,26,27,27,34,33,31,20,24,35,31,25,22,29,41,39,26,34,34,29,24,19,30,31,34,27,29,24,34,25,24,24,35,33,24,23,32,32,28,32,24,23,27,36,28,17,28,25,23,27,25,24,31,24,21,30,25,20,29,30,21,27,31,17,33,34,24,28,29,36,24,25,22,27,21,34,29,18,25,26,30,20
14,18,13,19,9,15,13,11,13,20,14,10,8,15,16,1076,1207,203,84,48,39,14,26,23,14,20,20,22,17,31,24,135,3659,3096,586,216,109,64,24,20,18,24,27,16,23,14,8,16,16,17,18,16,21,15,21,15,13,20,23,17,16,24,16,22,15,14,15,17,11,17,11,14,15,8,23,21,17,12,12,11,11,13,15,14,13,19,15,17,16,18,18,13,22,12,15,15,14,16,11,13,11,17,15,8,17,19,17,15,18,13,14,14,12,15,16,17,21,14,15,12,16,14,15,11,14,18,9,12
8,7,7,10,7,9,9,5,8,9,6,6,5,10,15,1862,2150,335,132,93,42,40,28,19,10,11,16,14,9,15,7,29,578,698,221,69,37,19,19,12,13,14,9,10,12,13,14,15,10,11,7,11,10,9,9,11,10,9,12,6,7,14,9,4,11,12,9,8,14,10,9,13,3,10,10,14,6,7,11,6,4,8,10,8,5,7,11,15,5,8,3,5,8,3,3,8,6,3,12,8,11,7,8,5,8,11,5,6,8,9,7,5,5,7,6,5,5,9,4,9,8,6,8,8,10,9,6,5
10,5,6,7,6,9,7,6,10,9,8,8,5,12,60,1631,981,154,76,40,25,27,17,21,17,7,13,12,16,11,13,222,1114,789,192,65,29,25,20,11,15,10,11,11,8,14,6,11,11,11,14,7,9,14,3,16,9,14,11,13,18,15,12,7,13,11,12,17,8,9,12,10,7,11,7,8,8,7,8,6,14,6,8,8,8,12,8,7,14,10,8,6,3,8,10,7,19,12,9,14,4,6,6,13,9,13,11,10,5,9,11,6,6,8,11,12,9,9,11,9,7,13,2,12,6,9,13,12
10,7,7,6,10,4,6,8,9,10,5,8,7,11,777,2814,862,203,97,67,50,23,21,23,17,17,16,17,12,13,51,281,356,178,56,25,16,14,9,13,12,8,9,9,7,8,8,11,11,8,17,6,3,14,11,11,11,8,13,10,8,12,15,4,13,12,7,8,6,10,17,8,8,19,6,6,6,7,10,10,4,5,6,3,5,4,7,5,8,7,5,13,6,5,12,6,11,11,3,7,4,10,10,6,5,4,6,5,7,7,8,2,5,9,9,4,10,9,9,4,6,6,13,10,10,4,3,4
