6,5,2,10,5,6,5,7,3,5,6,7,7,2,878,3667,1327,282,123,79,823,1359,715,356,175,111,69,30,18,15,13,10,10,11,12,9,13,7,13,10,13,14,7,7,9,5,11,9,12,13,7,10,4,11,11,2,6,8,6,7,2,6,9,9,12,8,5,6,6,9,6,4,7,14,4,4,10,5,3,2,8,8,6,8,6,7,5,10,5,5,5,6,10,7,7,9,9,4,7,8,12,5,7,8,2,3,7,4,3,7,8,5,9,8,9,7,6,7,5,4,5,3,8,8,6,6,5,6
8,6,5,5,11,4,3,6,7,6,6,9,10,10,6,1683,2253,378,152,97,71,659,1683,1310,487,204,111,55,36,26,27,13,11,16,19,9,11,14,6,18,14,11,16,8,13,4,7,4,5,4,10,9,9,3,9,5,3,5,10,5,10,9,5,10,14,8,5,8,6,5,5,9,11,5,10,6,7,3,13,3,10,4,2,12,14,2,9,6,3,8,8,5,9,7,6,11,3,11,6,6,7,2,5,9,7,7,6,7,4,8,5,2,7,3,5,5,5,8,1,2,10,5,6,9,9,8,3,7
5,8,12,4,4,10,6,5,4,8,6,4,10,6,12,2800,3188,564,205,111,108,668,729,378,253,414,460,188,71,41,31,8,10,10,13,7,11,12,15,12,18,14,11,12,12,14,10,11,10,11,6,9,14,7,6,8,11,10,9,6,12,5,7,3,10,8,6,7,11,6,8,6,6,5,6,9,5,6,6,10,6,4,8,11,5,10,6,11,3,6,8,8,7,5,1,9,3,6,6,5,7,5,9,13,6,3,4,8,9,4,11,7,10,1,8,5,0,5,7,5,8,8,2,1,4,8,6,8
12,7,8,10,13,7,10,8,13,9,12,9,13,10,108,1431,795,167,70,42,484,10658,11103,2436,796,333,152,104,69,43,38,32,33,13,24,18,18,14,12,12,12,16,26,14,13,16,22,15,14,11,15,10,12,18,3,11,12,10,10,15,8,10,15,12,14,17,12,12,11,18,10,18,14,12,16,11,17,13,13,5,17,11,8,8,11,9,5,10,7,8,8,9,6,11,19,11,10,17,13,11,15,12,8,12,11,12,10,18,12,9,9,8,5,18,11,12,15,8,12,11,13,10,16,11,7,11,10,9
20,27,20,19,16,15,18,21,22,19,18,21,14,17,564,7589,4254,683,325,145,309,805,560,288,526,836,512,188,93,50,42,20,25,22,29,29,26,22,25,27,22,19,18,22,30,15,24,18,13,17,15,14,16,23,31,21,22,15,8,16,23,19,17,18,19,20,16,16,19,16,18,21,21,14,20,21,21,19,18,16,27,16,28,16,23,17,15,15,18,18,14,19,11,26,12,18,14,18,17,14,18,30,18,16,15,22,15,23,16,11,19,15,17,18,18,14,23,9,23,16,16,17,17,18,14,14,16,9
15,11,15,16,13,14,14,13,18,15,22,12,11,10,16,898,1150,214,90,47,73,12633,27170,8896,2067,898,430,196,119,83,46,47,35,28,17,21,17,16,27,18,24,20,12,22,19,13,14,13,13,16,11,21,14,14,8,6,12,14,11,13,7,8,11,13,14,12,14,9,7,13,12,12,8,15,13,14,12,11,9,14,20,12,13,6,11,7,10,14,17,13,12,8,14,14,14,17,7,15,9,17,9,17,12,15,11,9,15,12,12,14,14,8,6,11,17,11,7,13,15,10,13,14,13,15,15,11,12,7
8,8,7,3,2,6,8,7,8,5,5,4,3,8,9,2561,3042,514,184,94,123,781,871,464,256,306,271,130,63,33,19,17,15,12,9,16,14,17,13,16,18,6,14,8,10,8,5,9,11,6,13,14,11,12,9,8,13,11,3,7,6,11,5,10,10,10,9,7,7,7,8,6,2,9,7,11,7,8,6,10,7,10,8,5,7,3,7,5,5,7,10,4,6,3,8,7,11,5,8,3,12,9,8,5,7,9,10,8,8,6,8,8,7,4,5,7,3,9,10,5,5,7,10,12,6,5,7,2
5,4,9,4,4,5,7,6,6,3,10,9,3,8,57,1537,970,155,81,36,154,5386,7583,2020,600,276,117,65,41,22,28,15,18,12,14,16,12,8,15,20,11,12,10,13,9,9,10,9,7,5,10,6,12,7,7,4,13,10,5,11,4,5,10,3,7,5,6,5,6,8,5,9,7,15,5,8,17,9,10,10,6,5,3,7,8,7,7,3,13,7,7,9,8,9,2,3,3,10,10,10,13,11,10,4,7,13,9,9,6,4,12,5,7,11,8,11,12,8,7,13,3,9,7,5,6,9,8,5
5,6,6,9,8,4,4,4,7,3,5,6,4,9,797,3053,1026,204,90,64,676,1131,669,422,284,160,63,31,26,10,20,13,11,14,15,14,8,9,12,10,13,8,10,10,9,10,10,7,9,10,3,7,7,10,9,10,7,3,10,8,4,7,7,6,8,7,5,4,9,12,8,6,9,3,6,11,8,6,11,10,4,8,5,10,3,4,6,2,8,6,5,6,2,6,7,6,12,6,6,5,4,5,8,10,6,8,11,9,8,6,8,7,6,8,11,4,3,5,6,5,4,4,13,3,8,3,7,2
5,9,6,4,5,10,9,10,5,2,7,4,3,2,9,2126,2621,446,142,94,99,829,1758,941,402,217,115,57,32,23,21,18,19,9,8,8,12,6,12,14,13,16,13,5,11,11,10,9,6,9,5,9,6,5,10,8,10,4,12,7,13,8,8,7,4,6,8,11,6,11,3,2,7,9,10,6,5,6,11,7,6,9,12,12,7,8,5,9,9,3,1,14,9,13,13,9,11,5,8,6,5,4,5,10,8,6,6,1,7,5,8,4,4,9,5,7,6,7,4,4,10,6,6,8,6,6,5,2
